Machine 10.6.9.212 CpuFree% 97.95 MemFree% 97.47 Memfree 3867 MB, Memtotal 3967 MB, Swapfree 7690 MB, Swaptotal 7730 MB Netout 10832
Machine 10.6.9.218 CpuFree% 97.69 MemFree% 97.77 Memfree 3879 MB, Memtotal 3967 MB, Swapfree 7697 MB, Swaptotal 7730 MB Netout 12162
Machine 10.6.9.210 CpuFree% 98.20 MemFree% 96.60 Memfree 3832 MB, Memtotal 3967 MB, Swapfree 7657 MB, Swaptotal 7730 MB Netout 11672
Machine 10.6.9.213 CpuFree% 97.73 MemFree% 98.20 Memfree 3895 MB, Memtotal 3967 MB, Swapfree 7718 MB, Swaptotal 7730 MB Netout 12022
Machine 10.6.9.211 CpuFree% 98.99 MemFree% 98.03 Memfree 3889 MB, Memtotal 3967 MB, Swapfree 7713 MB, Swaptotal 7730 MB Netout 10622
Machine 10.6.9.215 CpuFree% 98.22 MemFree% 97.78 Memfree 3879 MB, Memtotal 3967 MB, Swapfree 7699 MB, Swaptotal 7730 MB Netout 11112
Machine 10.6.9.220 CpuFree% 97.96 MemFree% 98.44 Memfree 3905 MB, Memtotal 3967 MB, Swapfree 7726 MB, Swaptotal 7730 MB Netout 13282
Machine 10.6.9.209 CpuFree% 97.70 MemFree% 97.96 Memfree 3886 MB, Memtotal 3967 MB, Swapfree 7711 MB, Swaptotal 7730 MB Netout 9362
Machine 10.6.9.221 CpuFree% 97.94 MemFree% 97.11 Memfree 3852 MB, Memtotal 3967 MB, Swapfree 7674 MB, Swaptotal 7730 MB Netout 11392
Machine 10.6.9.223 CpuFree% 98.22 MemFree% 98.24 Memfree 3897 MB, Memtotal 3967 MB, Swapfree 7718 MB, Swaptotal 7730 MB Netout 11182
Machine 10.6.9.222 CpuFree% 98.74 MemFree% 97.37 Memfree 3863 MB, Memtotal 3967 MB, Swapfree 7684 MB, Swaptotal 7730 MB Netout 12442
Machine 10.6.9.207 CpuFree% 72.64 MemFree% 96.67 Memfree 3835 MB, Memtotal 3967 MB, Swapfree 7662 MB, Swaptotal 7730 MB Netout 4568435

Machine 10.6.9.203 CpuFree% 74.56 MemFree% 97.99 Memfree 3887 MB, Memtotal 3967 MB, Swapfree 7717 MB, Swaptotal 7730 MB Netout 4636665
Machine 10.6.9.209 CpuFree% 99.51 MemFree% 97.91 Memfree 3884 MB, Memtotal 3967 MB, Swapfree 7711 MB, Swaptotal 7730 MB Netout 11952
Machine 10.6.9.218 CpuFree% 99.74 MemFree% 97.72 Memfree 3877 MB, Memtotal 3967 MB, Swapfree 7697 MB, Swaptotal 7730 MB Netout 12302
Machine 10.6.9.205 CpuFree% 75.89 MemFree% 98.09 Memfree 3891 MB, Memtotal 3967 MB, Swapfree 7690 MB, Swaptotal 7730 MB Netout 3908463
Machine 10.6.9.222 CpuFree% 99.27 MemFree% 97.32 Memfree 3861 MB, Memtotal 3967 MB, Swapfree 7684 MB, Swaptotal 7730 MB Netout 13562
Machine 10.6.9.223 CpuFree% 99.49 MemFree% 98.20 Memfree 3895 MB, Memtotal 3967 MB, Swapfree 7718 MB, Swaptotal 7730 MB Netout 11812
Machine 10.6.9.211 CpuFree% 100.00 MemFree% 97.99 Memfree 3887 MB, Memtotal 3967 MB, Swapfree 7713 MB, Swaptotal 7730 MB Netout 10762
Machine 10.6.9.221 CpuFree% 99.26 MemFree% 97.05 Memfree 3850 MB, Memtotal 3967 MB, Swapfree 7674 MB, Swaptotal 7730 MB Netout 11392
Machine 10.6.9.219 CpuFree% 99.51 MemFree% 97.87 Memfree 3882 MB, Memtotal 3967 MB, Swapfree 7690 MB, Swaptotal 7730 MB Netout 11602
Machine 10.6.9.207 CpuFree% 74.31 MemFree% 96.62 Memfree 3833 MB, Memtotal 3967 MB, Swapfree 7662 MB, Swaptotal 7730 MB Netout 3709221
Machine 10.6.9.215 CpuFree% 99.49 MemFree% 97.73 Memfree 3877 MB, Memtotal 3967 MB, Swapfree 7699 MB, Swaptotal 7730 MB Netout 10552
Machine 10.6.9.210 CpuFree% 99.74 MemFree% 96.55 Memfree 3830 MB, Memtotal 3967 MB, Swapfree 7657 MB, Swaptotal 7730 MB Netout 11462
Machine 10.6.9.220 CpuFree% 99.24 MemFree% 98.39 Memfree 3903 MB, Memtotal 3967 MB, Swapfree 7726 MB, Swaptotal 7730 MB Netout 10902
Machine 10.6.9.212 CpuFree% 100.00 MemFree% 97.42 Memfree 3865 MB, Memtotal 3967 MB, Swapfree 7690 MB, Swaptotal 7730 MB Netout 11322
Machine 10.6.9.213 CpuFree% 99.75 MemFree% 98.15 Memfree 3893 MB, Memtotal 3967 MB, Swapfree 7718 MB, Swaptotal 7730 MB Netout 10552

Machine 10.6.9.203 CpuFree% 75.43 MemFree% 97.93 Memfree 3885 MB, Memtotal 3967 MB, Swapfree 7717 MB, Swaptotal 7730 MB Netout 4637916
Machine 10.6.9.219 CpuFree% 99.51 MemFree% 97.81 Memfree 3880 MB, Memtotal 3967 MB, Swapfree 7690 MB, Swaptotal 7730 MB Netout 13136
Machine 10.6.9.209 CpuFree% 99.75 MemFree% 97.86 Memfree 3882 MB, Memtotal 3967 MB, Swapfree 7711 MB, Swaptotal 7730 MB Netout 10744
